Downtime_Minutes,Users_Affected,Transactions,Financial_Loss_INR,Data_Risk_Transactions_Lost
14.08,11193,572,27887,423
90.3,33125,6293,140621,3411
39.5,11751,2271,47270,947
27.39,32912,1897,82475,1022
5.09,24944,4575,73336,1563
5.09,17818,2149,46954,1898
1.8,49923,8233,141131,2797
60.34,48222,2984,134797,1256
27.57,13689,2645,47842,1472
36.94,39868,5626,119090,4838
0.62,20122,3718,58858,1514
105.11,47348,7146,184304,3857
53.59,38953,5084,122942,4543
7.16,334,25,1751,16
6.02,6934,531,17261,355
6.08,15155,1832,40219,1620
10.88,3307,597,11394,360
22.32,2500,168,11111,50
16.97,9709,1939,32607,617
10.33,21573,3913,64370,2773
28.39,45430,4946,123153,2111
4.51,24035,2114,59118,1241
10.37,23974,4514,72186,2847
13.69,40608,2780,97648,1947
18.27,25115,2564,66953,898
46.14,14284,893,48702,675
6.68,46906,9053,139940,7714
21.66,29643,4228,85466,1917
26.93,750,75,8860,39
1.43,32489,2966,79893,2213
28.06,49285,5747,134736,2580
5.61,27428,1747,64255,1092
2.02,19516,3579,57070,2490
89.21,13219,1674,76938,1385
101.12,7744,1229,72474,623
49.57,8753,744,38676,443
10.9,14516,1822,39940,748
3.08,24997,2041,60469,988
34.58,1974,340,15816,121
17.4,10529,1750,33437,732
3.9,12313,889,29456,451
20.51,49087,3002,117827,1664
1.05,17740,3080,50933,2230
72.01,36108,2399,114766,1379
8.98,15902,2103,43665,692
32.59,16222,2111,52300,1590
11.21,21753,1749,54126,1083
22.02,43771,6071,123064,5243
23.74,24201,3035,69359,2067
6.13,1509,190,4727,117
104.78,43488,4520,163206,2154
44.77,34700,6099,114871,2695
84.15,18508,1159,81409,507
67.56,5836,675,42815,367
27.33,5093,453,19595,182
76.48,43971,7794,160355,6286
2.78,47265,3959,114556,3100
6.54,31347,5173,89396,3814
1.39,28921,4098,78413,1349
11.81,3313,600,11654,205
14.76,43223,6010,119332,4097
9.5,29595,3950,80403,2960
52.94,6308,1073,37238,339
13.24,9744,1309,28440,620
9.89,6553,1157,20447,441
23.47,11193,642,31281,281
4.56,46609,5792,122664,3539
48.61,11363,1953,49439,713
2.32,405,71,1342,31
130.02,34252,5997,172621,3831
44.38,32121,4518,101616,2732
6.65,18058,3595,54947,2928
0.17,972,75,2322,29
50.7,41228,3140,116204,1638
36.81,22062,1211,61346,1034
39.17,42663,8464,139903,6580
44.26,17514,1789,58693,1177
2.31,10026,1647,28462,1254
13.32,48359,2851,113402,1622
3.69,39773,3770,98751,3190
59.66,37310,5356,124438,3533
29.29,15390,1980,48605,1420
12.05,3767,305,11151,210
1.97,17760,2117,46243,1489
11.17,6653,441,17378,301
11.8,17026,2237,47263,770
39.24,4908,316,23684,209
30.45,28712,4174,86694,3214
65.47,40599,2976,122563,893
19.17,28115,3712,78987,3099
3.82,33451,2320,78875,2021
37.47,49762,5479,138388,2065
42.91,9238,949,37276,589
24.72,40563,6630,120420,2428
44.22,36341,5312,113943,2495
20.42,1298,247,8446,166
22.19,27547,5186,86250,2498
16.73,36863,5851,106403,3038
0.77,12213,2022,34569,1511
3.43,28849,4146,78744,2674
0.96,37403,5750,103602,3512
30.35,38739,5523,113453,2731
11.32,19787,1914,51048,1382
21.31,2547,261,11318,144
71.44,9508,1295,55681,1086
8.6,39712,6275,112060,4147
15.85,17774,1971,48557,1227
42.26,12513,893,43228,698
7.79,48037,5712,125721,3377
2.4,7649,1487,22919,695
10.26,23171,1902,57496,747
5.27,8793,1295,24666,825
79.65,43931,8671,166758,4811
49.53,16870,1795,60142,966
30.1,41471,7596,129180,3871
61.55,2106,378,30243,265
48.84,5313,535,30366,327
6.19,36736,2379,86137,1480
66.92,9630,739,50329,358
23.25,47228,4952,124822,3308
49.42,6737,1306,37375,707
67.93,49604,4522,149810,3444
11.48,5064,957,16858,591
3.5,34170,2638,81857,1249
7.76,7849,1534,24448,596
16.71,946,88,5747,63
51.11,13490,1955,55027,1021
59.14,13835,836,54590,283
0.21,24005,2279,59409,1934
21.45,14976,1222,41027,650
16.21,14067,710,34946,530
7.54,18362,1349,44503,776
3.83,36973,5137,100005,4287
12.36,20114,2182,53309,692
85.89,24154,3825,107235,1742
11.71,30055,4528,84753,2841
21.94,23151,3933,71106,1942
36.42,28485,5128,93600,3823
13.56,35687,6172,104730,4400
107.03,27583,3232,126693,1019
98.46,27753,2672,117715,1764
8.7,40945,5132,108833,4113
20.63,44890,5847,123700,2861
10.74,42118,4084,106415,1566
10.06,30994,4060,83882,3016
1.13,29942,1972,69803,1656
28.21,19748,1671,55344,1159
20.96,31856,5157,94293,4164
1.59,22507,1742,53823,1566
9.8,44661,3164,106675,1897
71.67,17158,1597,72635,1375
8.22,10170,1074,26887,544
4.7,39125,3884,98178,2902
20.17,33879,3597,90271,3024
127.32,16716,1186,111194,726
8.31,30473,2279,73539,1540
33.45,35041,2991,94712,2638
43.02,36252,3998,106600,1801
8.14,897,90,3405,46
39.08,39989,6746,125924,5149
13.76,13694,1764,38758,890
30.02,47854,6525,136555,3918
30.12,7790,1044,29063,344
23.02,12769,1402,38070,896
2.84,19073,3758,57175,2540
54.11,21185,1177,68156,411
11.6,28887,2379,71645,1061
6.19,25184,2334,62808,1306
1.25,24151,4400,70371,3382
26.81,11654,2188,41190,684
33.96,37739,6676,118751,3330
0.5,13454,1514,34495,458
21.53,5389,1008,20812,617
7.7,24844,1609,58802,964
31.08,18045,2668,58095,2009
5.75,24343,4639,72570,1402
35.23,48699,7949,147596,6003
14.67,39154,3589,99062,2995
82.81,24327,3834,105502,1880
4.44,27848,2623,69278,1312
12.51,17058,1138,42019,342
3.61,46784,7372,130771,4109
77.59,10034,771,58092,514
62.95,45630,3041,131437,1136
8.95,10650,1413,29703,981
32.36,4124,590,20403,306
50.98,31872,1837,91131,1292
24.3,8822,447,25869,201
22.63,2220,404,11842,308
8.31,30189,2031,71729,1278
2.93,21448,2950,57896,1828
68.25,5977,1153,45913,683
69.2,43588,5526,143590,4449
30.08,19004,1348,52996,852
12.42,20892,2277,55357,901
12.89,26137,3753,73352,2535
38.83,17435,2866,61300,1743
68.22,14759,2081,68098,710
65.43,29784,1642,94243,1065
45.41,1064,76,17806,26
30.82,35002,3702,97068,2720
2.64,35112,5472,97798,3791
5.29,35671,4910,96500,2926
68.65,4011,227,37595,170
27.97,11316,1918,39620,898
0.28,1508,212,4083,120
3.21,21721,3976,63609,1229
32.67,21077,2374,63362,2119
0.15,13295,1642,34802,548
5.26,44038,4880,113079,1769
23.87,40531,6418,118983,3831
35.32,42677,6948,130589,3651
31.66,7213,1143,29049,707
7.62,41010,3844,102291,3079
37.36,22861,3324,73760,1313
8.12,25092,2528,63981,1728
11.81,13878,2430,41935,755
